city_id,City,Country,Cloudiness,Humidity,Latitude,Longitude,Max Temp,Wind Speed
338,shimoda,JP,20,52,34.6667,138.95,64.4,14.97
339,karratha,AU,100,35,-20.7377,116.8463,87.48,15.03
340,atbasar,KZ,84,30,51.8,68.3333,66.6,13.82
341,opuwo,NA,30,66,-18.0607,13.84,61.74,7.43
342,southampton,GB,100,72,50.904,-1.4043,46.0,6.71
343,chuy,UY,12,81,-33.6971,-53.4616,62.19,6.93
344,petrykivka,UA,0,82,48.7298,34.6351,57.2,8.95
345,medicine hat,CA,1,70,50.0501,-110.6683,39.99,4.61
346,aripuana,BR,42,98,-9.1667,-60.6333,70.65,1.32
347,hearst,CA,22,59,49.6835,-83.6665,30.2,2.3
348,eldoret,KE,75,94,0.5204,35.2699,53.6,4.61
349,srednekolymsk,RU,10,92,67.45,153.6833,33.82,5.84
350,itaueira,BR,60,70,-7.6033,-43.0256,71.73,4.7
351,sitka,US,90,53,57.0531,-135.33,50.0,10.36
352,jacareacanga,BR,52,99,-6.2222,-57.7528,71.49,1.16
353,elektrenai,LT,90,87,54.7667,24.6333,39.99,10.36
354,kavieng,PG,91,71,-2.5744,150.7967,84.47,6.87
355,abu dhabi,AE,0,54,24.4667,54.3667,86.0,10.36
356,skibbereen,IE,75,87,51.55,-9.2667,44.6,16.11
357,angoram,PG,21,50,-4.0625,144.0661,91.67,5.12
358,guanica,PR,89,91,17.9716,-66.908,73.0,4.92
359,hanzhong,CN,100,68,33.0728,107.0303,72.45,2.46
360,tukrah,LY,68,25,32.5341,20.5791,83.82,8.61
361,katsuura,JP,14,78,35.1333,140.3,70.0,15.99
362,tecoanapa,MX,22,65,16.5167,-98.75,79.32,5.35
363,gua musang,MY,36,54,4.8823,101.9644,91.72,2.35
364,galle,LK,78,67,6.0367,80.217,85.17,2.77
365,bonavista,CA,71,87,48.6499,-53.1147,39.0,9.22
366,cayenne,GF,90,94,4.9333,-52.3333,79.0,7.29
367,airai,TL,73,67,-8.9266,125.4092,68.23,4.41
368,porto novo,BJ,40,84,6.4965,2.6036,84.2,13.8
369,itarema,BR,100,82,-2.9248,-39.9167,76.48,2.13
370,olinda,BR,75,88,-8.0089,-34.8553,71.6,3.44
371,kolodeznyy,RU,75,67,51.3333,39.1833,62.6,13.42
372,mala,PE,65,88,-12.6581,-76.6308,66.52,2.08
373,braco do norte,BR,37,88,-28.275,-49.1656,62.15,2.35
374,sisimiut,GL,0,59,66.9395,-53.6735,36.09,5.66
375,beyneu,KZ,71,13,45.3167,55.2,73.02,11.34
376,glencoe,ZA,0,82,-28.1783,30.147,45.84,2.21
377,barguzin,RU,100,66,53.6167,109.6167,44.28,13.11
378,stephenville,US,1,73,32.2207,-98.2023,72.0,6.91
379,contamana,PE,57,84,-7.3333,-75.0167,72.81,0.4
380,araouane,ML,46,35,18.9048,-3.5265,84.25,15.82
381,gimli,CA,100,60,50.6336,-96.9907,39.2,13.8
382,gidam,IN,99,39,18.9833,81.4,85.91,1.41
383,constitucion,CL,100,95,-35.3333,-72.4167,53.91,3.94
384,sabang,ID,99,73,5.8933,95.3214,84.43,9.75
385,ballina,AU,40,73,-28.8667,153.5667,73.4,10.36
386,ossora,RU,10,80,59.2353,163.0719,28.17,4.41
387,caconda,AO,91,96,-13.7333,15.0667,58.89,4.72
388,korla,CN,100,18,41.7597,86.1469,59.43,2.06
389,henties bay,NA,52,71,-22.116,14.2845,66.99,7.0
390,sa kaeo,TH,33,52,13.75,102.3333,93.34,2.08
391,vila velha,BR,75,100,-20.3297,-40.2925,68.0,8.05
392,melville,US,1,72,40.7934,-73.4151,62.01,4.61
393,bihoro,JP,75,93,43.8228,144.1044,39.2,13.8
394,el alto,PE,88,82,-4.2714,-81.2147,68.41,18.7
395,erzin,TR,37,82,36.9559,36.2,70.0,1.77
396,yar-sale,RU,14,82,66.8333,70.8333,30.67,15.9
397,axim,GH,100,86,4.8699,-2.2405,80.08,8.79
398,chikwawa,MW,80,93,-16.0335,34.8009,65.8,5.32
399,minab,IR,40,58,27.1467,57.0801,87.8,9.22
400,port elizabeth,ZA,0,87,-33.918,25.5701,51.8,6.91
401,totness,SR,100,91,5.8833,-56.3167,76.64,10.36
402,krasnyy yar,RU,0,40,46.5331,48.3456,71.6,8.95
403,nome,US,90,65,64.5011,-165.4064,39.2,8.05
404,geri,CY,0,53,35.1,33.4167,73.4,4.61
405,bilma,NE,1,9,18.6853,12.9164,80.82,8.08
406,krasnoselkup,RU,100,100,65.7,82.4667,33.4,10.89
407,nikolskoye,RU,0,56,59.7035,30.7861,41.0,11.18
408,vardo,NO,0,59,70.3705,31.1107,30.2,6.91
409,nouakchott,MR,13,68,18.0858,-15.9785,66.2,17.27
410,dali,CN,34,30,25.7,100.1833,76.23,8.14
411,neryungri,RU,100,92,56.6709,124.6491,38.37,4.29
412,forbes,AU,33,39,-33.3833,148.0167,77.0,7.85
413,hinton,CA,100,65,53.4001,-117.5857,41.0,6.91
414,cidreira,BR,31,91,-30.1811,-50.2056,67.91,7.7
415,weymouth,US,97,71,42.2209,-70.9398,60.8,9.22
416,lasa,IT,0,86,46.6166,10.7002,42.8,3.44
417,bay roberts,CA,77,87,47.5999,-53.2648,43.0,3.0
418,tambacounda,SN,79,23,13.7539,-13.7586,86.0,6.91
419,derzhavinsk,KZ,53,27,51.1,66.3167,67.23,13.87
420,narsaq,GL,90,24,60.9167,-46.05,41.0,46.04
